,item_id,status,type,uploader_user_id,created,language
5209,6001df41ef26370018afecd8,APPROVED,bikevault,U8WZi4eRIMMD8WGY1OARt8EsxcA3,2021-01-15 18:30:25.064,en
5210,6001dec7c7955600175b45dd,APPROVED,bikevault,U8WZi4eRIMMD8WGY1OARt8EsxcA3,2021-01-15 18:28:23.839,fr
5211,6001dea17471d900182e2140,REJECTED,gcninspiration,qpMg4G9S0qYXRod2F8TPD2P4Ccz2,2021-01-15 18:27:45.749,en
5212,6001de69ef26370018afecd2,REJECTED,gcninspiration,qpMg4G9S0qYXRod2F8TPD2P4Ccz2,2021-01-15 18:26:49.854,en
5213,6001de5401ca2000178766b2,APPROVED,gcninspiration,qpMg4G9S0qYXRod2F8TPD2P4Ccz2,2021-01-15 18:26:28.284,en
5214,6001de3706640000183bcd68,APPROVED,gcninspiration,oeqr1PinxKQemkgJOr5JJiN9Cyj2,2021-01-15 18:25:59.182,es
5215,6001dce8c7955600175b45d0,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 18:20:24.184,IT
5216,6001dce7ef26370018afecc4,APPROVED,news,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 18:20:23.569,es
5217,6001dce706640000183bcd5e,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 18:20:23.457,IT
5218,6001dce7c7955600175b45cc,APPROVED,news,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 18:20:23.253,es
5219,6001dce67471d900182e2133,APPROVED,hackorbodge,O3DuABP0vsbXnFXtCwRV5QTNOAz2,2021-01-15 18:20:22.282,en
5220,6001dbf306640000183bcd58,APPROVED,bikevault,RwaCWeeXLyNWYbb0E10DayiG9Em2,2021-01-15 18:16:19.152,so
5221,6001db56c7955600175b45c7,APPROVED,training,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 18:13:22.562,en
5222,6001daeac7955600175b45c5,APPROVED,bikevault,ifzNiZHf6taUH72hEO2dmoJ44zu1,2021-01-15 18:11:54.045,en
5223,6001dab67471d900182e212c,APPROVED,training,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 18:10:59.084,es
5224,6001d8f38678fc0018dbb241,APPROVED,gcninspiration,49lDy8J7XceWqsknI1kAzc2an2L2,2021-01-15 18:03:31.804,en
5225,6001d6f0ef26370018afecba,APPROVED,gcninspiration,nn0FvuEKozeE25y6UsFwLCoXdyH2,2021-01-15 17:54:56.957,es
5226,6001d6e401ca200017876699,APPROVED,gcninspiration,nn0FvuEKozeE25y6UsFwLCoXdyH2,2021-01-15 17:54:44.707,es
5227,6001d6cd06640000183bcd4f,APPROVED,gcninspiration,nn0FvuEKozeE25y6UsFwLCoXdyH2,2021-01-15 17:54:21.824,es
5228,6001d53401ca200017876697,APPROVED,bikevault,GRivOE7i7CfRPR3vaE9LWf5ewT42,2021-01-15 17:47:32.363,en
5229,6001d4e2ef26370018afecb6,APPROVED,bikevault,TRZRL2gAvPXpk3G41v0ZUohFxbN2,2021-01-15 17:46:10.606,it
5230,6001d36d01ca200017876694,APPROVED,bikevault,TRZRL2gAvPXpk3G41v0ZUohFxbN2,2021-01-15 17:39:57.864,it
5231,6001d311ef26370018afecb0,APPROVED,gcninspiration,T7IYhN54YRXDKU5Gkl2ozY57JZ13,2021-01-15 17:38:25.297,en
5232,6001d0cc01ca20001787668f,APPROVED,gcninspiration,ApX7PFoWqpR6w6l9Vfz5OcsKGhI2,2021-01-15 17:28:44.988,es
5233,6001cf6e1668c30017a0dc78,APPROVED,gcninspiration,FPauhQF8HghnussR6WHKgMWQi363,2021-01-15 17:22:54.943,en
5234,6001cf6528d47600176e58e7,REJECTED,gcninspiration,FPauhQF8HghnussR6WHKgMWQi363,2021-01-15 17:22:45.111,en
5235,6001ced9ef26370018afeca9,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 17:20:25.236,IT
5236,6001ced701ca200017876688,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 17:20:23.727,IT
5237,6001ced4c7955600175b45ad,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 17:20:20.805,en
5238,6001cd957471d900182e2114,REJECTED,gcninspiration,FPauhQF8HghnussR6WHKgMWQi363,2021-01-15 17:15:01.799,en
5239,6001cd20c7955600175b45ab,APPROVED,gcninspiration,1x3CVTpXDBY8J0XItmXa7sYnQBj1,2021-01-15 17:13:04.356,en
5240,6001cb8a8678fc0018dbb225,APPROVED,racing,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 17:06:18.519,en
5241,6001c8f78678fc0018dbb21c,APPROVED,gcninspiration,Wl1RdHsV93OB43ws8pNIRDg12Uv2,2021-01-15 16:55:19.159,en
5242,6001c8e2ef26370018afec94,APPROVED,gcninspiration,Wl1RdHsV93OB43ws8pNIRDg12Uv2,2021-01-15 16:54:58.423,en
5243,6001c8c47471d900182e2106,APPROVED,gcninspiration,Wl1RdHsV93OB43ws8pNIRDg12Uv2,2021-01-15 16:54:28.717,en
5244,6001c71501ca200017876677,APPROVED,videos,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 16:47:17.427,en
5245,6001c6eaef26370018afec90,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 16:46:34.839,en
5246,6001c6e3c7955600175b45a0,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 16:46:27.189,en
5247,6001c6d9c7955600175b459e,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 16:46:17.105,en
5248,6001c643ef26370018afec8c,APPROVED,gcninspiration,TCSC41ANMrZ4rBRkE0WZMkfLgzI3,2021-01-15 16:43:47.691,en
5249,6001c5ea8678fc0018dbb213,APPROVED,gcninspiration,KCRuxcJ0U9UVaCdMUnpNwRgmwjk2,2021-01-15 16:42:18.708,en
5250,6001c5d506640000183bcd2f,APPROVED,gcninspiration,TRZRL2gAvPXpk3G41v0ZUohFxbN2,2021-01-15 16:41:57.615,it
5251,6001c5ccc7955600175b4599,APPROVED,gcninspiration,TRZRL2gAvPXpk3G41v0ZUohFxbN2,2021-01-15 16:41:48.553,it
5252,6001c5cc01ca20001787666f,APPROVED,gcninspiration,KCRuxcJ0U9UVaCdMUnpNwRgmwjk2,2021-01-15 16:41:48.141,en
5253,5ff87b2301e88e00105b0153,APPROVED,hotornot,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 16:32:33.388,en
5254,6001c2e1ef26370018afec86,APPROVED,bikevault,66KNKfU8Vpeej7BpG42u5Pf06V53,2021-01-15 16:29:21.583,en
5255,6001c26a06640000183bcd29,APPROVED,news,XtPyn1rCOjWPDcyOVZ6aJpVZu4D2,2021-01-15 16:27:22.560,en
5256,6001c2677471d900182e20f8,APPROVED,gcninspiration,cKGmKsp4HeejpCKHmJgg1gacJfk2,2021-01-15 16:27:19.514,en
5257,6001c1c7db2f3d0017c1bbfd,APPROVED,bikevault,xA32J7rpTQOW9ka5W1BIrNWIxiV2,2021-01-15 16:24:39.465,it
5258,6001c1464505d3001778b5ff,APPROVED,bikevault,66KNKfU8Vpeej7BpG42u5Pf06V53,2021-01-15 16:22:30.490,en
5259,6001c14601ca20001787666a,APPROVED,epicride,ONiIJhAPg3UMOk0BlcBmDnVOB4a2,2021-01-15 16:22:30.451,en
5260,6001c10bd0eff500178e0219,APPROVED,racefootage,oeqr1PinxKQemkgJOr5JJiN9Cyj2,2021-01-15 16:21:31.188,es
5261,6001c0e6ef26370018afec7f,APPROVED,gcninspiration,f63mRCSyPcQE0cY4Wi0T2gfxyUy2,2021-01-15 16:20:54.587,en
5262,6001c0ca8678fc0018dbb200,APPROVED,videos,EjzUrt9pRnXx9buB1je1vcQMjDn1,2021-01-15 16:20:26.908,IT
5263,6001c0ca06640000183bcd22,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 16:20:26.083,IT
5264,6001c0c98678fc0018dbb1fe,APPROVED,videos,EjzUrt9pRnXx9buB1je1vcQMjDn1,2021-01-15 16:20:25.781,en
5265,6001c0c87471d900182e20f1,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 16:20:24.277,IT
5266,60015b2ac7955600175b4486,APPROVED,quiz,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 16:19:10.000,es
5267,6001c0177471d900182e20e7,APPROVED,bikevault,oeqr1PinxKQemkgJOr5JJiN9Cyj2,2021-01-15 16:17:27.820,it
5268,6001bfe0c7955600175b4582,APPROVED,bikevault,ReJzolAIErNksaBy5WFPoeKNhc62,2021-01-15 16:16:32.976,en
5269,6001bcf9fc9d7d00176fce74,REJECTED,bikevault,KawjHoElErYgRWbjthOjdK9R4XQ2,2021-01-15 16:04:09.082,it
5270,6001bcbb7ada3e0018f8910f,APPROVED,gcninspiration,WsQh2ZZmYegtABLDg8TK1QQGFt43,2021-01-15 16:03:07.613,es
5271,6001bc1fc7955600175b457b,APPROVED,bikevault,fXIygv2PG2aikiJ2TBgIrcCGma62,2021-01-15 16:00:31.334,en
5272,6001ba9a8678fc0018dbb1f7,APPROVED,bikevault,1HPrsTA8RyeAFLAFzqBXSrU45Ua2,2021-01-15 15:54:02.214,en
5273,6001b9b57471d900182e20e0,APPROVED,bikevault,1HPrsTA8RyeAFLAFzqBXSrU45Ua2,2021-01-15 15:50:13.271,en
5274,6001b96d06640000183bcd0d,APPROVED,gcninspiration,sXF2I1SyepYSu3xujhGiwcR0nqD3,2021-01-15 15:49:01.805,en
5275,6001b8a906640000183bcd09,APPROVED,gcninspiration,kEiWdZevFleyFxhqY3jfUI2UTVe2,2021-01-15 15:45:45.795,it
5276,6001b883ef26370018afec63,APPROVED,custombike,ifzNiZHf6taUH72hEO2dmoJ44zu1,2021-01-15 15:45:07.583,en
5277,6001b85306640000183bcd06,APPROVED,racefootage,kEiWdZevFleyFxhqY3jfUI2UTVe2,2021-01-15 15:44:19.430,it
5278,6001b8038678fc0018dbb1ee,APPROVED,hackorbodge,O3DuABP0vsbXnFXtCwRV5QTNOAz2,2021-01-15 15:42:59.542,en
5279,6001b6ac7471d900182e20d8,APPROVED,gcninspiration,1HPrsTA8RyeAFLAFzqBXSrU45Ua2,2021-01-15 15:37:16.342,en
5280,6001b65101ca20001787664d,APPROVED,bikevault,I6xdeqXugVhZH1nMvvUK1BUoVEC3,2021-01-15 15:35:45.282,en
5281,6001b60b06640000183bccff,APPROVED,gcninspiration,bNU2ZcfdvAXR9LIrVkWyRQyrO0g1,2021-01-15 15:34:35.821,en
5282,6001b5dbc7955600175b456b,APPROVED,gcninspiration,du98sPn1DidaDHS7H1dh43l18yF2,2021-01-15 15:33:47.531,en
5283,6001b2b906640000183bccf8,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 15:20:25.390,IT
5284,6001b2b801ca20001787663f,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 15:20:24.751,IT
5285,6001b2b801ca20001787663d,APPROVED,videos,EjzUrt9pRnXx9buB1je1vcQMjDn1,2021-01-15 15:20:24.217,en
5286,6001b2af01ca200017876639,APPROVED,videos,EjzUrt9pRnXx9buB1je1vcQMjDn1,2021-01-15 15:20:15.634,en
5287,6001b246c7955600175b4559,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 15:18:30.301,en
5288,6001b23306640000183bccef,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 15:18:11.278,en
5289,5ff2f706a1c1150010253523,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 15:07:38.300,en
5290,6001af717471d900182e20c4,APPROVED,bikevault,U5PPReMOiMUlPGfRHcITtuNFdW32,2021-01-15 15:06:25.084,en
5291,6001af5e8678fc0018dbb1d6,APPROVED,gcninspiration,c60RJrI0sTfNWrjTAa0BEXpsUR92,2021-01-15 15:06:06.772,en
5292,6001aefb7471d900182e20bd,APPROVED,epicride,e4vayBhpFbc5oOol6e0IVlvtcrF2,2021-01-15 15:04:27.625,en
5293,6001aed78678fc0018dbb1cf,REJECTED,epicride,e4vayBhpFbc5oOol6e0IVlvtcrF2,2021-01-15 15:03:51.372,en
5294,6001ae668678fc0018dbb1cd,APPROVED,gcninspiration,zJeqFTmGRaWIs73cuyQq8x6EHLp1,2021-01-15 15:01:58.812,en
5295,6001ae5401ca20001787662f,APPROVED,epicride,ONiIJhAPg3UMOk0BlcBmDnVOB4a2,2021-01-15 15:01:40.250,en
5296,6001adfd8678fc0018dbb1c9,REJECTED,epicride,ONiIJhAPg3UMOk0BlcBmDnVOB4a2,2021-01-15 15:00:13.006,en
5297,5ff5a5ea1cf6450012cd9f74,REJECTED,quiz,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 14:58:16.074,en
5298,6001ad62c7955600175b454f,APPROVED,epicride,ONiIJhAPg3UMOk0BlcBmDnVOB4a2,2021-01-15 14:57:38.280,en
5299,6001acf07471d900182e20b5,REJECTED,epicride,ONiIJhAPg3UMOk0BlcBmDnVOB4a2,2021-01-15 14:55:44.018,en
5300,6001ac2701ca20001787662a,APPROVED,gcninspiration,mwCURyia4MSKHkyhNmlAdOnShLA3,2021-01-15 14:52:23.387,und
5301,6001a928ef26370018afec42,APPROVED,gcninspiration,tbrCGdpcshXa6Vv3vfa1IXPLbkN2,2021-01-15 14:39:36.808,en
5302,6001a8de8678fc0018dbb1c4,APPROVED,gcninspiration,JUgiUkPOQRftXVXRE5j5Enbw8H03,2021-01-15 14:38:22.815,en
