,user_id,settings,following
59,GmmsgtxdoPYSZyOVyGgboHFM0NY2,,"['0DYZHNV17FYQ0rcMsmStMR19Aim1', '5OuCagp0DihVQfwMPdyfbBAvKlz2']"
60,WUNJMvnVj8VK4QtpWOGweM3c7Bh1,,['VfOdwnRYXCaXwsS2yn2nXOqvSAz1']
61,PaercEWoZfTngg15frM8X1qJVSf2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['hHrdkeSObkYOBUIk2QahpnbXTNC2', 'ow4YmLg2brZBm8A5SUU18Ip4FzD3', 'z9tTBvLdkJYw0CLHR47EcTXRKCn2']"
62,yfqdYjgXGedcJNibxCPkve7pMSF2,,['ROw7GVP19LZOjDevQqWrZYBMJL22']
63,p3nNhWtEWzXOrnIuehFzReECpEr2,,"['UiFjiy1Z4QX2XEuYT6rkkKWeEGS2', 'rXgDAEXBWWXEJG09FWH75qTTqgw1', 'z9tTBvLdkJYw0CLHR47EcTXRKCn2']"
64,jg1vbHGFoOY209R1p97jdiyahTn1,,['cV81FzNLXRUcLv0lGfy27FEtQ5B3']
65,vswc5v6I9IQ9LWkCwhJzGeFv2OH2,,
66,5QnY1pycFofuOptYC5gv1kdP7lG3,,['55yuJ0aPKsZFg95hC0vCNvEGiSJ3']
67,6T2aZMPgq4Z5IaQnKCfkwLC24hA2,{'understoodLanguages': ['en-GB']},"['k1AZxsvbVnXP20d7VlGGdowYdhp2', 'xqf6lasOFLdJW4NBe4J73mPmpJf1']"
68,hda4SDWFE4gG9Nf7ppiitGF8TYm2,,['EjzUrt9pRnXx9buB1je1vcQMjDn1']
69,XQtGdDWRUdf62wxfEXfKMN80izx2,,"['EavfZAQ4VqYvyhbm61wYKiLLAEF3', 'JGV7P5v8ONgY4Gu3rIU7W6jdFke2']"
70,4xGZzR5xP8fJCDovTJ2xGgAbO0Y2,{'understoodLanguages': ['en-GB']},"['55yuJ0aPKsZFg95hC0vCNvEGiSJ3', 'emvfp9uUR4N0NIlHTe7DYjtrskJ2', 'hDZ9YjNP9QRTgyR5EBjQy78Bmxp1']"
71,lGu38CQX4QTQpakWfhzkdQ731d23,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['CnURBpxXS3aa4GPZdbYgCQshZ8m1', 'QVSqd2vIFsPipTaECBGoBbiVnZY2', 'ow4YmLg2brZBm8A5SUU18Ip4FzD3', 'seFxQAKFljNyOsrhlF9cWesEDc23']"
72,vtCnUBNrqddp9HcZIviQ80dILsW2,,['XKhFrIj6vjMLmMyZpu51ESP0HN93']
73,B7x9eDn0G3WnvrAVqb4sym34nnH3,,['MWPXxxcgQdSmJgehSGpNp275YD53']
74,Z2wz0pNtvDbdvYuS8R6EhftszGv2,{'understoodLanguages': [‘ja']},['KAjh3PEsZ8fge2Z49KDbflutjyr2']
75,l972kVZzH7MhLeFmU2al56giIRi1,,['yNbxcva1mFOVZ0jHl3DwwCb8x2T2']
76,6C4a4SpKsoMuqC7rbND747iYGfl1,,['k1AZxsvbVnXP20d7VlGGdowYdhp2']
77,GfPDdhC5AyeR2ORwtNjGDUZvVW73,{'understoodLanguages': ['en-GB']},['MAlaPaXZ8NcEVtl3CCp5XGfhefV2']
78,OMV5qTR0AwbUDZK8LRI64bQ6oZl2,,['AygBp9zAwQhBxAQ8SLvdBkrZJDB2']
79,lkigMccHdvNvwWQHG0MoAJc9Zf03,{'understoodLanguages': [‘ja']},"['GOC5mcKXC3ZyuAsgQuEampy0Kbn1', 'IdYYxltWSPTuh9Njyr6LNd6JLxP2', 'cWZTKIX3fhNgDN5jZwDlkJgH52c2', 'kjU6RrY7zTZr9fumqCfApL4s6Rv1', 'mOf7CwXAduTFBpM2ghQgYE8FIzh2', 'rJ8tCzpFXXbtXFVJnADPd3RcGpw1']"
80,A8dniLA9FSXcTBLYBZu6xU1VbCJ2,,
81,5HISMX79K6UL7hLqWjm49kBEaoq2,,['yNbxcva1mFOVZ0jHl3DwwCb8x2T2']
82,QqcEKCarvxR3DaKgljtx5J4JaCh2,,['ds4rx79b6GO7S5nwpxTgQoFF9Ei2']
83,TG4IhK9uobhIFmHumdTFh0wKYzm1,,"['hDZ9YjNP9QRTgyR5EBjQy78Bmxp1', 'k1AZxsvbVnXP20d7VlGGdowYdhp2', 'pQd6KU0D0IaxWGPBuA1VoujLfVA3', 'zofcOLvDPXcNNNF0LBv1vc61nxj2']"
84,XjK9wkBdCHRY7vW9oEUC1xKynTp2,,
85,oFMqdB6RUfVLYiuDNvCvh723Esc2,,
86,EqBoNhceUxaeE4c5yAHOUHhTwFB3,,"['cV81FzNLXRUcLv0lGfy27FEtQ5B3', 'zlE1pmwp6PgyoRaNI3aADEjoV613']"
87,8sT0DkqRnAYR6sMuCZn1Pxa4Jpx1,,['emvfp9uUR4N0NIlHTe7DYjtrskJ2']
88,0xHDXzL6wnavHACbUyAQRLFFE7I3,,"['2u4v8ZiM9phIpS2Wbt3A55FXcvt1', 'FZKVferS1AR043j4Xo5ee7za0Jy1', 'RdDJ9IxvsjdoXyPvt3S0xyh36mh1', 'gizQfGWEl6Pe6j9wQF6MiOfkbV92', 'jabvOw42ibM3oRjTumn7QxPqoXk1', 'ruMg3QezQFW88VQedJUBDmyrK683', 'uvFA2W9aAMQCuhVMTydK1zwo3gO2', 'yw24X8DMKjRPgRr0czmWgEOZVXl1']"
89,6Kb4SCabeYN2pNvb0btO9vkHBRg2,,['OVVu65RwHLREWVH17bj6hi1adL73']
90,wSguEEc38DYEQScTLa6hIVPsyIw1,{'understoodLanguages': ['en-GB']},['5eqW0ucqzIP2UqFJIp2BnaqKzHd2']
91,RnMsQtB31deXG9zJJPgDpipFjBj1,,['emvfp9uUR4N0NIlHTe7DYjtrskJ2']
92,3WxYqSiJGqTpdvmf4Z9vm7Gkeyx2,,['wSKXHikV1gSFbhNWjlmuUPhrOxD2']
93,MyvthR77UyUoui1Elmj0VkAykC52,,['Pk23eqwlE3hGPA8vnXK1qWme1SY2']
94,3YLeC2pb6VNCV3yxHpHM3fs7AGs2,,['UoyFKYxZBuRSNUGFsvegqiHLgDX2']
95,PC9W84TgwRQyeGfmx1QLwPzuu502,{'understoodLanguages': ['es-ES']},"['2Dc53mZmaNc1qJIKavMsuoDtFE52', 'W1s0iEiJRSP1oQqgESIeUbNalXy2', 'nsssUuGEN2Y59dFOvEqYMDQnNm93', 'WKlmaJsVmyYYG0uVb2UG4rssq9s1']"
96,FU5WG4Xx1kf9HpD5QG8Er9h1KVS2,,['7rkuPNvEhZe9Fm5AEoEPbEyrOmE3']
97,pUi9YBgQVEWJ4bnCN1zSrsygJ5H3,,['emvfp9uUR4N0NIlHTe7DYjtrskJ2']
98,WDJJRm6UI0foMtbAgEXNOtrMwfQ2,,['PNIlG1lOYAOF2aw9sjDmtLrbu1d2']
99,2ZN0nVZKZuVs1YOwFU4Hrvsakuu2,{'understoodLanguages': [‘ja']},['9YqI7cL2RcVTszrv3KKZMjP8KvI2']
100,rPOyjSK0VzPwK3CrDThe2MAtJS33,,['6UJF140IGdgV6xecBDw1YuVWDlJ3']
101,mA29e09fUmYj2MwFgDp3QfpLMC22,,['6dmg3YCGJdWiJ7s6XCRdCwHnaMk2']
102,mWV0notCJlPEo9ydHd1xfT5eZ6n1,,['Q4OYTvqGuzUsS9I9MnicP8crqcS2']
103,EmbHfnyLq7XmH2b05z5OtqcHT3A3,{'understoodLanguages': ['en-GB']},['H36p5II1nWdlzLaOG7yo2kEeQ2G2']
104,qrCrFtt582SURe95244YwNV8Shk2,{'understoodLanguages': ['en-GB']},['yzqOCgmM0cYE2Gfro2RQPQAnWcH2']
105,7W2OEUQZlDQwqyvMKhlHmEAwTN62,,"['Awket6vdKIeKhUEtS9XW4lipx5L2', 'O533Pgwplraovm9h8xB3VNLyrLH2', 'xgEQp5dgjTZx0Lt8joYFv7zejxQ2']"
106,2CDZtJJBClZ5dLqYX1iV00kEpl02,,['ioVpnlywoNODQfz1ljXSmxhxZa92']
107,4uXruLUHEbc0M4fQ1fdEzUn2uog2,,['eZXSXMZCK3PlTdclM9fhUIYdrQr1']
